nome_mun,TFT 2019,TFT 2020,TFT 2021
ARAGUARI,"1,503286757","1,531700923","1,453539338"
ARAXA,"1,742934637","1,767774351","1,696352252"
BARBACENA,"1,305134451","1,310308127","1,255914703"
BELO HORIZONTE,"1,393878773","1,296550717","1,24664773"
BETIM,"1,482520103","1,490270361","1,462692284"
CONSELHEIRO LAFAIETE,"1,682881259","1,577215418","1,52369739"
CONTAGEM,"1,479799727","1,426941401","1,368656909"
CORONEL FABRICIANO,"1,5459447","1,41996906","1,430850738"
DIVINOPOLIS,"1,464850553","1,386172251","1,372688279"
GOVERNADOR VALADARES,"1,721740017","1,591646048","1,576990846"
IBIRITE,"1,568799402","1,49374843","1,444315105"
IPATINGA,"1,392785989","1,30882318","1,38269386"
ITABIRA,"1,398748884","1,374037163","1,332946586"
ITUIUTABA,"1,547869864","1,373089132","1,355987858"
JUIZ DE FORA,"1,432115919","1,347913169","1,266903432"
LAVRAS,"1,736103471","1,635422509","1,564886548"
MONTES CLAROS,"1,741911542","1,686991087","1,657262677"
MURIAE,"1,493514057","1,439801235","1,527509592"
NOVA LIMA,"1,785153718","1,75474723","1,685597354"
NOVA SERRANA,"1,913027493","1,86875523","1,747063442"
PASSOS,"1,556416693","1,647418141","1,522774636"
PATOS DE MINAS,"1,564603379","1,545099132","1,461700798"
POCOS DE CALDAS,"1,463754412","1,467275116","1,371648814"
POUSO ALEGRE,"1,575094419","1,639301466","1,602139752"
RIBEIRAO DAS NEVES,"1,572424686","1,520465165","1,50200472"
SABARA,"1,444766734","1,433211649","1,346958912"
SANTA LUZIA,"1,598764364","1,588866762","1,52139313"
SETE LAGOAS,"1,341630655","1,297859304","1,330917407"
TEOFILO OTONI,"1,669942191","1,639063993","1,650378549"
UBA,"1,42652426","1,380918333","1,293113788"
UBERABA,"1,610311326","1,491569796","1,467766533"
UBERLANDIA,"1,725079441","1,609290921","1,53186639"
VARGINHA,"1,637288465","1,594599858","1,554993873"
VESPASIANO,"1,588833507","1,545072119","1,464390542"